freq,power
7750,1.37E-05
7750.5,1.18E-05
7751,1.47E-05
7751.5,9.69E-06
7752,9.66E-06
7752.5,1.09E-05
7753,1.16E-05
7753.5,1.33E-05
7754,1.36E-05
7754.5,1.43E-05
7755,1.53E-05
7755.5,2.10E-05
7756,1.59E-05
7756.5,2.08E-05
7757,1.87E-05
7757.5,1.50E-05
7758,1.67E-05
7758.5,1.70E-05
7759,1.42E-05
7759.5,1.50E-05
7760,9.98E-06
7760.5,1.11E-05
7761,1.21E-05
7761.5,1.84E-05
7762,1.16E-05
7762.5,1.29E-05
7763,2.51E-05
7763.5,1.89E-05
7764,1.29E-05
7764.5,2.10E-05
7765,1.85E-05
7765.5,6.79E-06
7766,9.05E-06
7766.5,1.10E-05
7767,1.06E-05
7767.5,1.21E-05
7768,2.62E-05
7768.5,2.74E-05
7769,1.69E-05
7769.5,1.32E-05
7770,1.04E-05
7770.5,1.19E-05
7771,1.46E-05
7771.5,1.15E-05
7772,1.17E-05
7772.5,1.03E-05
7773,1.76E-05
7773.5,2.34E-05
7774,1.43E-05
7774.5,6.34E-06
7775,1.30E-05
7775.5,1.43E-05
7776,1.13E-05
7776.5,9.52E-06
7777,1.28E-05
7777.5,2.05E-05
7778,1.41E-05
7778.5,8.50E-06
7779,6.67E-06
7779.5,1.27E-05
7780,1.51E-05
7780.5,2.22E-05
7781,2.40E-05
7781.5,1.90E-05
7782,9.50E-06
7782.5,1.72E-05
7783,2.00E-05
7783.5,1.10E-05
7784,9.24E-06
7784.5,1.08E-05
7785,1.70E-05
7785.5,9.56E-06
7786,3.88E-06
7786.5,1.53E-05
7787,1.65E-05
7787.5,2.23E-05
7788,1.33E-05
7788.5,8.38E-06
7789,9.42E-06
7789.5,1.25E-05
7790,2.26E-05
7790.5,3.86E-05
7791,3.11E-05
7791.5,1.31E-05
7792,1.23E-05
7792.5,1.97E-05
7793,1.94E-05
7793.5,8.89E-06
7794,1.03E-05
7794.5,1.17E-05
7795,9.82E-06
7795.5,1.47E-05
7796,1.30E-05
7796.5,1.03E-05
7797,1.34E-05
7797.5,1.47E-05
7798,1.08E-05
7798.5,1.48E-05
7799,9.87E-06
7799.5,1.08E-05
7800,1.29E-05
7800.5,1.40E-05
7801,1.72E-05
7801.5,1.73E-05
7802,1.30E-05
7802.5,1.31E-05
7803,2.51E-05
