Frequency [Hz] - Plot 0,nm^2/Hz - Plot 0,temp [K],averages
5,2.20E-05,294.5,16
5.5,1.94E-05,,
6,2.61E-05,,
6.5,2.66E-05,,
7,2.01E-05,,
7.5,1.27E-05,,
8,2.29E-05,,
8.5,2.38E-05,,
9,2.09E-05,,
9.5,2.25E-05,,
10,1.99E-05,,
10.5,2.87E-05,,
11,2.77E-05,,
11.5,1.98E-05,,
12,2.29E-05,,
12.5,1.81E-05,,
13,2.01E-05,,
13.5,1.67E-05,,
14,1.49E-05,,
14.5,1.39E-05,,
15,1.88E-05,,
15.5,2.39E-05,,
16,2.74E-05,,
16.5,2.29E-05,,
17,1.44E-05,,
17.5,1.82E-05,,
18,2.98E-05,,
18.5,2.80E-05,,
19,2.30E-05,,
19.5,1.84E-05,,
20,2.10E-05,,
20.5,1.73E-05,,
21,1.62E-05,,
21.5,1.81E-05,,
22,1.47E-05,,
22.5,1.40E-05,,
23,1.51E-05,,
23.5,1.41E-05,,
24,1.31E-05,,
24.5,1.88E-05,,
25,2.11E-05,,
25.5,2.11E-05,,
26,2.26E-05,,
26.5,1.76E-05,,
27,1.84E-05,,
27.5,2.72E-05,,
28,1.86E-05,,
28.5,9.48E-06,,
29,1.33E-05,,
29.5,2.06E-05,,
30,1.83E-05,,
30.5,1.22E-05,,
31,1.02E-05,,
31.5,1.41E-05,,
32,1.58E-05,,
32.5,1.14E-05,,
33,1.69E-05,,
33.5,1.42E-05,,
34,1.38E-05,,
34.5,1.74E-05,,
35,1.64E-05,,
35.5,2.24E-05,,
36,1.89E-05,,
36.5,1.61E-05,,
37,1.42E-05,,
37.5,1.76E-05,,
38,1.64E-05,,
38.5,1.83E-05,,
39,2.11E-05,,
39.5,1.66E-05,,
40,1.61E-05,,
40.5,1.23E-05,,
41,1.59E-05,,
41.5,1.46E-05,,
42,1.63E-05,,
42.5,1.60E-05,,
43,1.07E-05,,
43.5,8.97E-06,,
44,1.28E-05,,
44.5,1.59E-05,,
45,1.57E-05,,
45.5,1.20E-05,,
46,1.35E-05,,
46.5,2.44E-05,,
47,1.74E-05,,
47.5,1.15E-05,,
48,1.85E-05,,
48.5,1.40E-05,,
49,1.51E-05,,
49.5,1.85E-05,,
50,1.87E-05,,
50.5,1.17E-05,,
51,1.73E-05,,
51.5,1.58E-05,,
52,1.77E-05,,
52.5,1.51E-05,,
53,7.82E-06,,
53.5,8.78E-06,,
54,1.09E-05,,
54.5,1.79E-05,,
55,1.73E-05,,
55.5,1.20E-05,,
56,1.68E-05,,
56.5,2.79E-05,,
57,1.88E-05,,
57.5,1.87E-05,,
58,1.61E-05,,
58.5,2.28E-05,,
59,1.78E-05,,
59.5,1.63E-05,,
60,3.75E-05,,
60.5,2.21E-05,,
61,9.00E-06,,
61.5,1.79E-05,,
62,1.53E-05,,
62.5,1.12E-05,,
63,1.26E-05,,
63.5,1.35E-05,,
64,1.90E-05,,
64.5,2.35E-05,,
65,2.07E-05,,
65.5,1.60E-05,,
66,1.50E-05,,
66.5,1.33E-05,,
67,1.51E-05,,
67.5,2.79E-05,,
68,1.52E-05,,
68.5,8.39E-06,,
69,9.02E-06,,
69.5,1.06E-05,,
70,1.56E-05,,
70.5,8.58E-06,,
71,1.27E-05,,
71.5,1.63E-05,,
72,1.45E-05,,
72.5,9.81E-06,,
73,1.39E-05,,
73.5,1.91E-05,,
74,1.55E-05,,
74.5,1.72E-05,,
75,1.81E-05,,
75.5,1.46E-05,,
76,1.27E-05,,
76.5,1.80E-05,,
77,1.57E-05,,
77.5,1.79E-05,,
78,1.84E-05,,
78.5,2.32E-05,,
79,2.01E-05,,
79.5,1.03E-05,,
80,8.02E-06,,
80.5,1.36E-05,,
81,1.90E-05,,
81.5,1.58E-05,,
82,8.35E-06,,
82.5,9.67E-06,,
83,1.89E-05,,
83.5,1.76E-05,,
84,1.49E-05,,
84.5,1.71E-05,,
85,1.48E-05,,
85.5,7.58E-06,,
86,8.33E-06,,
86.5,1.51E-05,,
87,1.39E-05,,
87.5,1.30E-05,,
88,1.83E-05,,
88.5,1.46E-05,,
89,1.87E-05,,
89.5,1.79E-05,,
90,2.15E-05,,
90.5,2.23E-05,,
91,1.76E-05,,
91.5,1.58E-05,,
92,1.27E-05,,
92.5,1.64E-05,,
93,8.95E-06,,
93.5,8.61E-06,,
94,1.63E-05,,
94.5,1.43E-05,,
95,1.24E-05,,
95.5,1.25E-05,,
96,1.93E-05,,
96.5,1.91E-05,,
97,1.29E-05,,
97.5,1.38E-05,,
98,1.51E-05,,
98.5,1.16E-05,,
99,1.05E-05,,
99.5,1.29E-05,,
100,1.55E-05,,
100.5,1.71E-05,,
101,1.83E-05,,
101.5,1.32E-05,,
102,1.22E-05,,
102.5,8.97E-06,,
103,9.35E-06,,
103.5,1.35E-05,,
104,1.63E-05,,
104.5,1.39E-05,,
105,1.21E-05,,
105.5,1.74E-05,,
106,2.12E-05,,
106.5,2.30E-05,,
107,1.73E-05,,
107.5,1.26E-05,,
108,1.15E-05,,
108.5,1.77E-05,,
109,1.83E-05,,
109.5,1.93E-05,,
110,1.40E-05,,
110.5,8.17E-06,,
111,1.44E-05,,
111.5,1.49E-05,,
112,1.28E-05,,
112.5,1.22E-05,,
113,1.34E-05,,
113.5,1.36E-05,,
114,1.75E-05,,
114.5,1.41E-05,,
115,1.26E-05,,
115.5,1.57E-05,,
116,1.11E-05,,
116.5,9.38E-06,,
117,1.01E-05,,
117.5,9.63E-06,,
118,1.32E-05,,
118.5,1.58E-05,,
119,1.55E-05,,
119.5,1.63E-05,,
120,1.20E-05,,
120.5,9.84E-06,,
121,9.33E-06,,
121.5,1.60E-05,,
122,1.56E-05,,
122.5,1.28E-05,,
123,7.12E-06,,
123.5,1.14E-05,,
124,2.10E-05,,
124.5,1.89E-05,,
125,1.74E-05,,
125.5,1.71E-05,,
126,1.72E-05,,
126.5,1.87E-05,,
127,1.73E-05,,
127.5,1.08E-05,,
128,1.26E-05,,
128.5,1.53E-05,,
129,1.02E-05,,
129.5,1.40E-05,,
130,1.62E-05,,
130.5,1.39E-05,,
131,1.20E-05,,
131.5,1.17E-05,,
132,1.25E-05,,
132.5,1.72E-05,,
133,1.40E-05,,
133.5,1.58E-05,,
134,2.26E-05,,
134.5,1.73E-05,,
135,1.17E-05,,
135.5,1.24E-05,,
136,1.51E-05,,
136.5,1.10E-05,,
137,1.52E-05,,
137.5,1.12E-05,,
138,1.23E-05,,
138.5,1.64E-05,,
139,1.54E-05,,
139.5,1.22E-05,,
140,1.30E-05,,
140.5,1.70E-05,,
141,1.83E-05,,
141.5,1.14E-05,,
142,1.31E-05,,
142.5,1.66E-05,,
143,2.06E-05,,
143.5,2.26E-05,,
144,1.41E-05,,
144.5,1.01E-05,,
145,1.14E-05,,
145.5,1.42E-05,,
146,1.73E-05,,
146.5,1.19E-05,,
147,1.06E-05,,
147.5,1.52E-05,,
148,1.52E-05,,
148.5,1.05E-05,,
149,1.07E-05,,
149.5,9.18E-06,,
150,1.25E-05,,
150.5,1.59E-05,,
151,1.53E-05,,
151.5,8.10E-06,,
152,7.87E-06,,
152.5,9.69E-06,,
153,1.40E-05,,
153.5,2.03E-05,,
154,2.10E-05,,
154.5,1.33E-05,,
155,1.21E-05,,
155.5,9.61E-06,,
156,1.36E-05,,
156.5,1.72E-05,,
157,1.24E-05,,
157.5,1.34E-05,,
158,1.47E-05,,
158.5,1.35E-05,,
159,1.21E-05,,
159.5,9.66E-06,,
160,1.12E-05,,
160.5,1.50E-05,,
161,1.19E-05,,
161.5,9.49E-06,,
162,1.19E-05,,
162.5,1.19E-05,,
163,1.38E-05,,
163.5,1.17E-05,,
164,1.54E-05,,
164.5,1.81E-05,,
165,1.05E-05,,
165.5,9.63E-06,,
166,7.92E-06,,
166.5,1.52E-05,,
167,2.04E-05,,
167.5,1.26E-05,,
168,1.21E-05,,
168.5,1.72E-05,,
169,1.98E-05,,
169.5,1.70E-05,,
170,1.57E-05,,
170.5,1.43E-05,,
171,1.26E-05,,
171.5,1.31E-05,,
172,1.60E-05,,
172.5,1.36E-05,,
173,1.99E-05,,
173.5,1.88E-05,,
174,1.57E-05,,
174.5,1.69E-05,,
175,1.47E-05,,
175.5,1.50E-05,,
176,1.46E-05,,
176.5,1.31E-05,,
177,1.99E-05,,
177.5,1.63E-05,,
178,8.52E-06,,
178.5,1.02E-05,,
179,1.76E-05,,
179.5,3.83E-05,,
180,4.80E-05,,
180.5,1.72E-05,,
181,1.34E-05,,
181.5,1.39E-05,,
182,1.44E-05,,
182.5,1.37E-05,,
183,1.59E-05,,
183.5,1.18E-05,,
184,1.32E-05,,
184.5,1.43E-05,,
185,1.57E-05,,
185.5,1.42E-05,,
186,1.36E-05,,
186.5,1.75E-05,,
187,2.07E-05,,
187.5,1.75E-05,,
188,2.03E-05,,
188.5,1.24E-05,,
189,1.04E-05,,
189.5,1.47E-05,,
190,1.15E-05,,
190.5,1.46E-05,,
191,1.28E-05,,
191.5,9.12E-06,,
192,1.93E-05,,
192.5,1.60E-05,,
193,1.58E-05,,
193.5,1.78E-05,,
194,1.72E-05,,
194.5,1.33E-05,,
195,1.05E-05,,
195.5,1.10E-05,,
196,1.03E-05,,
196.5,1.12E-05,,
197,1.28E-05,,
197.5,1.12E-05,,
198,1.27E-05,,
198.5,9.07E-06,,
199,1.08E-05,,
199.5,1.41E-05,,
200,1.62E-05,,
200.5,1.60E-05,,
201,1.53E-05,,
201.5,1.42E-05,,
202,1.44E-05,,
202.5,1.74E-05,,
203,2.13E-05,,
203.5,1.56E-05,,
204,1.53E-05,,
204.5,1.20E-05,,
205,8.98E-06,,
205.5,7.99E-06,,
206,1.10E-05,,
206.5,1.29E-05,,
207,1.10E-05,,
207.5,1.18E-05,,
208,1.29E-05,,
208.5,1.57E-05,,
209,1.67E-05,,
209.5,1.14E-05,,
210,1.09E-05,,
210.5,1.77E-05,,
211,1.50E-05,,
211.5,1.58E-05,,
212,1.67E-05,,
212.5,1.50E-05,,
213,9.34E-06,,
213.5,1.46E-05,,
214,2.35E-05,,
214.5,2.62E-05,,
215,2.21E-05,,
215.5,1.88E-05,,
216,1.22E-05,,
216.5,1.21E-05,,
217,1.91E-05,,
217.5,1.32E-05,,
218,1.21E-05,,
218.5,1.40E-05,,
219,1.38E-05,,
219.5,1.26E-05,,
220,1.84E-05,,
220.5,2.19E-05,,
221,1.97E-05,,
221.5,1.85E-05,,
222,1.13E-05,,
222.5,1.06E-05,,
223,1.69E-05,,
223.5,1.77E-05,,
224,1.31E-05,,
224.5,1.35E-05,,
225,1.12E-05,,
225.5,9.98E-06,,
226,9.85E-06,,
226.5,1.72E-05,,
227,1.22E-05,,
227.5,1.12E-05,,
228,1.79E-05,,
228.5,2.44E-05,,
229,1.94E-05,,
229.5,1.36E-05,,
230,1.05E-05,,
